,Nombre municipio
834,RIO VIEJO
835,ZETAQUIRA
836,PACHAVITA
837,COROMORO
838,GUAVATA
839,LA PEDRERA (CD)
840,TONA
841,SAN JUAN DE ARAMA
842,ARMERO (GUAYABAL)
843,SABANAS DE SAN ANGEL
844,VETAS
845,CHIPATA
846,SAN PABLO DE BORBUR
847,PROVIDENCIA
848,SAPUYES
849,GUACA
850,BUCARASICA
851,PALOCABILDO
852,CUCUTILLA
853,VILLA CARO
854,LOURDES
855,GUAYABETAL
856,PURACE
857,ELIAS
858,MUTISCUA
859,CARAMANTA
860,ZAPAYAN
861,INZA
862,OTANCHE
863,NOCAIMA
864,MOLAGAVITA
865,ALEJANDRIA
866,TOPAGA
867,SATIVASUR
868,TOTA
869,SOTARA
870,SUPATA
871,GUACAMAYAS
872,CUMARIBO
873,CUNDAY
874,CAPITANEJO
875,SOTAQUIRA
876,JARDIN
877,PIJAO
878,PARATEBUENO
879,CONTRATACION
880,RIOFRIO
881,CHARALA
882,HACARI
883,HERRAN
884,EL ESPINO
885,CHITA
886,CIENEGA
887,SUTATAUSA
888,TINJACA
889,GAMEZA
890,SAN LUIS DE PALENQUE
891,LABATECA
892,ANGELOPOLIS
893,VISTAHERMOSA
894,JENESANO
895,RAQUIRA
896,PUERTO CARREÑO
897,LA MACARENA
898,COELLO
899,BOAVITA
900,PAZ DE RIO
901,SATIVANORTE
902,SANTA HELENA DEL OPON
903,TAUSA
904,GUATICA
905,MISTRATO
906,CHISCAS
907,LEJANIAS
908,SAN LUIS DE GACENO
909,CHIVATA
910,EL COCUY
911,SAN JOSE DE PARE
912,PAJARITO
913,VILLAHERMOSA
914,BOYACA
915,PUERTO CONCORDIA
916,EL RETORNO
917,CACHIRA
918,VICTORIA
919,CERRITO
920,SALAZAR
921,CHITARAQUE
922,EL TABLON
923,POLICARPA
924,OSPINA
925,CERINZA
926,GACHANTIVA
927,PANQUEBA
928,LITORAL DEL BAJO SAN JUAN
929,SIPI
930,SIMITI
931,TESALIA
932,FLORIAN
933,SAN JOSE
934,VEGACHI
935,ATACO
936,ENCINO
937,PIAMONTE
938,BARRANCA DE UPIA
939,CAPARRAPI
940,QUIPILE
941,SAN FERNANDO
942,RECETOR
943,GAMBITA
944,SUSA
945,PUERTO LLERAS
946,EL DORADO
947,PUERTO SANTANDER (CD)
948,CARURU
949,FILADELFIA
950,EL ROSARIO
951,BARRANCO MINAS (CD)
952,MONGUA
953,LA URIBE
954,MACARAVITA
955,ENCISO
956,EL GUACAMAYO
957,VERGARA
958,TIBACUY
959,LA CAPILLA
960,PULI
961,GUEPSA
962,SACAMA
963,SACHICA
964,PUENTE NACIONAL
965,FALAN
966,SANTA ROSALIA
967,MEDINA
968,PUEBLORRICO
969,MARULANDA
970,PUERTO RONDON
971,PENSILVANIA
972,PALMAR
973,FLORESTA
